txn_id,minute,amount,bank,network,payment_method,merchant,device,risk,route_id,health_state,success_probability,success,latency_ms
22,8,317.87,SBI,UPI,UPI,Fuel,Web,LOW,R1,HEALTHY,0.986,1,133.77
23,8,1090.41,HDFC,UPI,UPI,Fuel,iOS,LOW,R3,HEALTHY,0.979,1,91.11
24,9,285.17,HDFC,Mastercard,CARD,Fuel,Web,LOW,R1,HEALTHY,0.986,1,144.6
25,9,202.26,Axis,UPI,UPI,Healthcare,Web,LOW,R1,HEALTHY,0.986,1,141.98
26,9,257.49,SBI,Mastercard,CARD,Shopping,Android,MEDIUM,R4,HEALTHY,0.983,1,208.27
27,10,278.72,SBI,Rupay,CARD,Shopping,Android,MEDIUM,R3,HEALTHY,0.979,1,108.23
28,11,381.3,Kotak,Rupay,CARD,Food,Web,LOW,R3,HEALTHY,0.979,1,111.45
29,11,151.62,Axis,UPI,UPI,Travel,Android,LOW,R4,HEALTHY,0.983,1,122.41
30,11,145.85,SBI,Rupay,CARD,Shopping,Web,LOW,R3,HEALTHY,0.979,1,99.32
31,11,3719.26,HDFC,UPI,UPI,Shopping,iOS,MEDIUM,R1,HEALTHY,0.986,1,134.84
32,12,967.85,SBI,UPI,UPI,Electronics,Android,LOW,R2,HEALTHY,0.981,1,71.4
33,12,462.35,HDFC,Mastercard,CARD,Food,Android,LOW,R3,HEALTHY,0.979,1,103.87
34,12,171.7,ICICI,Mastercard,CARD,Food,iOS,MEDIUM,R3,HEALTHY,0.979,1,108.45
35,12,551.62,HDFC,Mastercard,CARD,Food,iOS,LOW,R4,HEALTHY,0.983,1,177.27
36,13,3452.97,Axis,Visa,CARD,Fuel,iOS,HIGH,R1,HEALTHY,0.986,1,164.43
37,13,223.98,ICICI,UPI,UPI,Electronics,Web,HIGH,R4,HEALTHY,0.983,1,182.4
38,13,82.39,HDFC,Rupay,CARD,Shopping,Android,LOW,R3,HEALTHY,0.979,1,112.08
39,13,92.91,HDFC,Mastercard,CARD,Shopping,Android,LOW,R3,HEALTHY,0.979,1,122.66
40,14,313.71,HDFC,Visa,CARD,Fuel,iOS,LOW,R1,HEALTHY,0.986,1,149.44
41,14,1940.55,HDFC,UPI,UPI,Food,iOS,LOW,R1,HEALTHY,0.986,1,125.99
42,14,104.14,Kotak,UPI,UPI,Shopping,iOS,LOW,R2,HEALTHY,0.981,1,87.05
43,15,112.22,Kotak,UPI,UPI,Shopping,iOS,MEDIUM,R4,HEALTHY,0.983,1,187.29
44,15,30.94,HDFC,Rupay,CARD,Healthcare,Android,LOW,R3,HEALTHY,0.979,1,106.78
45,15,145.7,SBI,UPI,UPI,Food,Android,LOW,R1,HEALTHY,0.986,1,127.16
46,15,416.48,ICICI,UPI,UPI,Healthcare,iOS,LOW,R1,HEALTHY,0.986,1,147.63
47,16,437.18,HDFC,Rupay,CARD,Food,Android,LOW,R3,HEALTHY,0.979,1,99.53
48,16,1198.11,BOB,UPI,UPI,Shopping,Android,HIGH,R3,HEALTHY,0.979,1,113.6
49,17,90.44,HDFC,Mastercard,CARD,Fuel,iOS,LOW,R1,HEALTHY,0.986,1,153.07
50,17,27.63,ICICI,Mastercard,CARD,Shopping,Web,LOW,R1,HEALTHY,0.986,1,143.68
51,17,37.32,BOB,Rupay,CARD,Electronics,Web,LOW,R3,HEALTHY,0.979,1,102.89
52,18,80.23,SBI,Mastercard,CARD,Shopping,Web,LOW,R1,HEALTHY,0.986,1,129.71
53,18,50.23,SBI,UPI,UPI,Fuel,Web,LOW,R3,HEALTHY,0.979,1,91.74
54,19,1303.63,HDFC,Mastercard,CARD,Shopping,Android,LOW,R4,HEALTHY,0.983,1,166.85
55,19,115.81,SBI,UPI,UPI,Healthcare,iOS,LOW,R3,HEALTHY,0.979,1,103.06
56,19,407.24,Axis,Mastercard,CARD,Food,Android,LOW,R1,HEALTHY,0.986,1,162.18
57,20,89.34,ICICI,UPI,UPI,Fuel,Web,LOW,R1,HEALTHY,0.986,1,143.87
58,20,238.84,Kotak,Visa,CARD,Shopping,iOS,LOW,R4,HEALTHY,0.983,1,170.08
59,20,40.96,HDFC,UPI,UPI,Healthcare,Web,LOW,R1,HEALTHY,0.986,1,138.61
60,20,64.6,ICICI,UPI,UPI,Fuel,iOS,LOW,R3,HEALTHY,0.979,1,133.63
61,20,1105.63,HDFC,Mastercard,CARD,Fuel,iOS,LOW,R3,HEALTHY,0.979,1,111.34
62,21,36.11,Kotak,Rupay,CARD,Travel,Android,LOW,R3,HEALTHY,0.979,1,99.45
63,21,403.36,HDFC,Visa,CARD,Fuel,Android,LOW,R2,HEALTHY,0.981,1,94.34
64,21,522.8,HDFC,UPI,UPI,Fuel,iOS,LOW,R3,HEALTHY,0.979,1,92.98
65,21,133.78,BOB,Mastercard,CARD,Food,Android,LOW,R1,HEALTHY,0.986,1,156.84
66,22,55.67,HDFC,UPI,UPI,Electronics,Android,LOW,R4,HEALTHY,0.983,1,169.11
67,22,223.15,Axis,UPI,UPI,Shopping,Android,LOW,R1,HEALTHY,0.986,1,136.22
68,23,173.75,HDFC,UPI,UPI,Shopping,Android,LOW,R1,HEALTHY,0.986,1,152.59
69,23,203.19,HDFC,UPI,UPI,Food,Web,LOW,R3,HEALTHY,0.979,1,104.04
70,24,322.2,HDFC,Rupay,CARD,Electronics,iOS,LOW,R3,HEALTHY,0.979,1,97.25
71,24,144.25,SBI,Mastercard,CARD,Shopping,Web,LOW,R1,HEALTHY,0.986,0,162.05
72,24,275.15,Axis,Rupay,CARD,Healthcare,Android,MEDIUM,R3,HEALTHY,0.979,1,113.56
73,25,77.2,HDFC,UPI,UPI,Shopping,Android,LOW,R1,HEALTHY,0.986,1,135.65
74,25,30.01,BOB,UPI,UPI,Healthcare,iOS,LOW,R3,HEALTHY,0.979,1,101.38
75,25,7223.86,ICICI,Mastercard,CARD,Food,iOS,MEDIUM,R3,HEALTHY,0.979,1,123.46
76,26,290.49,Kotak,Rupay,CARD,Electronics,Android,LOW,R3,HEALTHY,0.979,1,119.53
77,27,257.66,HDFC,Visa,CARD,Shopping,Web,LOW,R1,HEALTHY,0.986,1,152.51
78,27,46.77,BOB,UPI,UPI,Travel,Android,LOW,R4,HEALTHY,0.983,1,168.08
79,27,267.51,BOB,Rupay,CARD,Food,Web,LOW,R3,HEALTHY,0.979,1,110.48
80,27,168.92,Kotak,Rupay,CARD,Electronics,Web,LOW,R3,HEALTHY,0.979,1,103.28
81,28,1365.3,HDFC,UPI,UPI,Shopping,Android,MEDIUM,R3,HEALTHY,0.979,1,117.46
82,28,139.3,Axis,Mastercard,CARD,Food,Android,LOW,R1,HEALTHY,0.986,1,172.94
83,28,202.12,HDFC,UPI,UPI,Food,Android,MEDIUM,R1,HEALTHY,0.986,1,128.17
84,30,460.16,SBI,Rupay,CARD,Food,Android,LOW,R3,HEALTHY,0.979,1,105.02
85,31,257.0,HDFC,Mastercard,CARD,Fuel,Web,LOW,R3,HEALTHY,0.979,1,133.91
86,31,57.77,BOB,UPI,UPI,Food,iOS,LOW,R4,HEALTHY,0.983,1,144.59
87,31,96.38,Kotak,UPI,UPI,Food,iOS,LOW,R4,HEALTHY,0.983,1,138.23
88,31,37.04,ICICI,Rupay,CARD,Food,Android,LOW,R3,HEALTHY,0.979,1,131.02
89,32,36.06,ICICI,UPI,UPI,Shopping,Android,LOW,R2,HEALTHY,0.981,1,101.81
90,32,130.4,Axis,Visa,CARD,Food,Android,LOW,R4,HEALTHY,0.983,1,175.55
91,33,559.18,HDFC,UPI,UPI,Shopping,Android,LOW,R2,HEALTHY,0.981,1,90.07
92,33,188.32,HDFC,UPI,UPI,Food,Android,LOW,R3,HEALTHY,0.979,1,98.98
93,33,187.07,Axis,UPI,UPI,Healthcare,Web,LOW,R2,HEALTHY,0.981,1,82.0
94,34,24.84,HDFC,Rupay,CARD,Food,Web,MEDIUM,R3,HEALTHY,0.979,1,114.1
95,35,28.78,SBI,UPI,UPI,Shopping,iOS,LOW,R4,HEALTHY,0.983,1,201.86
96,36,86.8,BOB,Visa,CARD,Healthcare,Android,LOW,R1,HEALTHY,0.986,1,146.42
97,36,165.15,HDFC,UPI,UPI,Food,iOS,LOW,R2,HEALTHY,0.981,1,85.77
98,36,3569.23,SBI,Mastercard,CARD,Travel,Android,LOW,R3,HEALTHY,0.979,1,119.13
99,36,28.48,HDFC,Mastercard,CARD,Shopping,Web,LOW,R1,HEALTHY,0.986,1,142.89
100,36,407.27,Kotak,UPI,UPI,Food,iOS,LOW,R4,HEALTHY,0.983,1,178.29
101,37,772.55,Axis,UPI,UPI,Travel,Android,LOW,R4,HEALTHY,0.983,1,157.54
102,38,292.34,SBI,Visa,CARD,Healthcare,Web,LOW,R2,HEALTHY,0.981,1,100.7
103,38,5786.6,BOB,UPI,UPI,Electronics,iOS,MEDIUM,R1,HEALTHY,0.986,1,137.77
104,38,173.52,SBI,Visa,CARD,Fuel,Android,LOW,R3,HEALTHY,0.979,1,104.07
105,38,22.8,BOB,Mastercard,CARD,Electronics,Android,LOW,R4,HEALTHY,0.983,1,192.49
106,39,171.89,SBI,Visa,CARD,Food,iOS,LOW,R1,HEALTHY,0.986,1,157.98
107,39,336.8,Kotak,Mastercard,CARD,Healthcare,iOS,LOW,R1,HEALTHY,0.986,1,152.84
108,39,126.81,SBI,Mastercard,CARD,Fuel,Android,HIGH,R1,HEALTHY,0.986,1,145.39
109,39,805.23,SBI,Visa,CARD,Food,Android,LOW,R2,HEALTHY,0.981,1,88.42
110,39,231.32,SBI,Rupay,CARD,Food,Android,LOW,R3,HEALTHY,0.979,1,110.88
111,41,642.82,Kotak,UPI,UPI,Fuel,Android,LOW,R1,HEALTHY,0.986,1,125.31
112,41,43.69,HDFC,Visa,CARD,Shopping,Web,LOW,R1,HEALTHY,0.986,1,129.97
113,41,39.41,Axis,Visa,CARD,Shopping,iOS,LOW,R3,HEALTHY,0.979,1,120.84
114,41,385.63,SBI,Visa,CARD,Travel,Android,LOW,R1,HEALTHY,0.986,1,147.18
115,41,749.01,ICICI,Visa,CARD,Shopping,iOS,LOW,R2,HEALTHY,0.981,1,88.53
116,42,838.52,SBI,Rupay,CARD,Food,Web,LOW,R3,HEALTHY,0.979,1,101.99
117,42,942.35,ICICI,UPI,UPI,Food,iOS,LOW,R1,HEALTHY,0.986,1,141.65
118,42,93.07,BOB,UPI,UPI,Shopping,Android,LOW,R1,HEALTHY,0.986,1,165.03
119,43,600.17,SBI,UPI,UPI,Healthcare,Android,LOW,R2,HEALTHY,0.981,1,83.97
120,43,43.36,ICICI,Mastercard,CARD,Healthcare,Web,LOW,R3,HEALTHY,0.979,1,126.06
121,44,815.82,BOB,UPI,UPI,Food,Web,MEDIUM,R3,HEALTHY,0.979,1,110.23
122,44,93.39,BOB,UPI,UPI,Shopping,Web,LOW,R2,HEALTHY,0.981,1,75.65
123,44,453.67,HDFC,UPI,UPI,Electronics,Web,MEDIUM,R1,HEALTHY,0.986,1,166.72
124,45,663.55,HDFC,UPI,UPI,Food,iOS,LOW,R1,HEALTHY,0.986,1,155.49
125,46,82.2,ICICI,UPI,UPI,Shopping,Android,LOW,R2,HEALTHY,0.981,1,61.09
126,46,114.03,SBI,Visa,CARD,Electronics,Android,LOW,R1,HEALTHY,0.986,1,169.74
127,46,47.01,HDFC,Mastercard,CARD,Food,Web,LOW,R3,HEALTHY,0.979,1,105.72
128,46,90.73,SBI,Visa,CARD,Shopping,iOS,LOW,R3,HEALTHY,0.979,1,116.72
129,47,31.48,SBI,Mastercard,CARD,Shopping,Android,MEDIUM,R1,HEALTHY,0.986,1,134.27
130,47,322.11,Axis,Visa,CARD,Fuel,iOS,LOW,R1,HEALTHY,0.986,1,129.81
131,48,860.19,ICICI,UPI,UPI,Healthcare,Web,LOW,R3,HEALTHY,0.979,1,114.17
132,48,197.51,HDFC,UPI,UPI,Fuel,iOS,LOW,R1,HEALTHY,0.986,1,138.49
133,48,905.49,SBI,UPI,UPI,Food,Android,LOW,R1,HEALTHY,0.986,1,129.59
134,49,302.89,HDFC,UPI,UPI,Travel,iOS,LOW,R1,HEALTHY,0.986,1,132.28
135,49,517.5,HDFC,UPI,UPI,Food,iOS,MEDIUM,R4,HEALTHY,0.983,1,149.75
136,49,708.84,ICICI,UPI,UPI,Shopping,Web,LOW,R3,HEALTHY,0.979,1,128.75
137,50,61.49,HDFC,Mastercard,CARD,Healthcare,iOS,LOW,R1,HEALTHY,0.986,1,136.62
138,50,864.25,ICICI,Visa,CARD,Fuel,Android,MEDIUM,R2,HEALTHY,0.981,0,74.34
139,51,214.52,HDFC,Rupay,CARD,Food,Web,LOW,R3,HEALTHY,0.979,1,117.72
140,52,30.33,HDFC,UPI,UPI,Electronics,Android,LOW,R3,HEALTHY,0.979,1,97.91
141,52,434.67,HDFC,Visa,CARD,Food,Android,LOW,R4,HEALTHY,0.983,1,169.16
142,52,192.31,HDFC,UPI,UPI,Electronics,Web,LOW,R2,HEALTHY,0.981,1,82.63
143,52,65.12,HDFC,Visa,CARD,Travel,Android,LOW,R2,HEALTHY,0.981,1,95.75
144,52,145.67,Kotak,UPI,UPI,Electronics,Web,HIGH,R4,HEALTHY,0.983,1,150.25
145,53,1265.68,HDFC,UPI,UPI,Shopping,Web,LOW,R1,HEALTHY,0.986,1,162.07
146,54,589.4,HDFC,UPI,UPI,Food,iOS,LOW,R3,HEALTHY,0.979,1,100.16
147,54,129.78,Axis,Rupay,CARD,Shopping,Android,LOW,R3,HEALTHY,0.979,1,99.49
148,54,23.19,ICICI,Rupay,CARD,Travel,Android,LOW,R3,HEALTHY,0.979,1,102.39
149,54,792.0,HDFC,Rupay,CARD,Shopping,Web,LOW,R3,HEALTHY,0.979,1,108.39
150,54,20.14,HDFC,Mastercard,CARD,Healthcare,iOS,LOW,R3,HEALTHY,0.979,1,100.44
151,54,157.11,SBI,UPI,UPI,Shopping,Web,LOW,R2,HEALTHY,0.981,1,87.94
152,55,719.47,SBI,Mastercard,CARD,Healthcare,Web,LOW,R1,HEALTHY,0.986,1,150.25
153,55,148.48,Axis,Visa,CARD,Healthcare,Android,LOW,R1,HEALTHY,0.986,1,125.81
154,55,393.4,Axis,UPI,UPI,Shopping,iOS,LOW,R3,HEALTHY,0.979,1,117.51
155,55,1219.55,Axis,UPI,UPI,Shopping,iOS,MEDIUM,R3,HEALTHY,0.979,1,115.15
156,55,1532.62,HDFC,Mastercard,CARD,Food,iOS,MEDIUM,R3,HEALTHY,0.979,1,115.03
157,56,148.17,ICICI,UPI,UPI,Shopping,iOS,HIGH,R2,HEALTHY,0.981,1,94.8
158,56,298.89,HDFC,UPI,UPI,Fuel,iOS,MEDIUM,R2,HEALTHY,0.981,1,85.23
159,56,187.75,ICICI,Visa,CARD,Shopping,iOS,LOW,R2,HEALTHY,0.981,1,86.53
160,56,233.05,Axis,UPI,UPI,Fuel,Web,LOW,R1,HEALTHY,0.986,1,136.87
161,56,799.01,ICICI,Visa,CARD,Shopping,Web,LOW,R2,HEALTHY,0.981,1,82.72
162,56,133.23,Kotak,UPI,UPI,Shopping,Android,LOW,R1,HEALTHY,0.986,1,150.04
163,57,205.32,SBI,Mastercard,CARD,Shopping,Web,LOW,R3,HEALTHY,0.979,1,92.24
164,57,148.19,Axis,Rupay,CARD,Food,Web,LOW,R3,HEALTHY,0.979,1,121.92
165,58,298.67,Kotak,UPI,UPI,Shopping,Web,LOW,R3,HEALTHY,0.979,1,111.82
166,58,1763.6,HDFC,Rupay,CARD,Shopping,Android,LOW,R3,HEALTHY,0.979,1,114.25
167,58,56.73,Axis,UPI,UPI,Shopping,Web,LOW,R1,HEALTHY,0.986,1,155.25
168,59,746.12,ICICI,UPI,UPI,Fuel,iOS,MEDIUM,R3,HEALTHY,0.979,1,106.65
169,59,50.13,Kotak,Visa,CARD,Food,iOS,LOW,R2,HEALTHY,0.981,1,72.04
170,59,117.85,Kotak,UPI,UPI,Shopping,Android,LOW,R3,HEALTHY,0.979,1,119.95
171,61,95.31,ICICI,UPI,UPI,Shopping,iOS,MEDIUM,R1,HEALTHY,0.986,1,172.8
172,62,379.5,HDFC,UPI,UPI,Shopping,iOS,MEDIUM,R2,HEALTHY,0.981,1,69.06
173,62,156.2,HDFC,Visa,CARD,Fuel,Web,MEDIUM,R4,HEALTHY,0.983,1,208.7
174,63,171.65,HDFC,Visa,CARD,Food,Android,LOW,R3,HEALTHY,0.979,1,113.85
175,63,2829.29,Axis,Visa,CARD,Travel,Web,LOW,R1,HEALTHY,0.986,1,166.12
176,63,1983.21,BOB,Visa,CARD,Shopping,Web,MEDIUM,R4,HEALTHY,0.983,1,186.63
177,64,52.57,ICICI,Rupay,CARD,Shopping,Web,MEDIUM,R3,HEALTHY,0.979,1,89.54
178,65,265.74,ICICI,Rupay,CARD,Shopping,Android,MEDIUM,R3,HEALTHY,0.979,1,114.18
179,65,78.33,Axis,Mastercard,CARD,Healthcare,Web,LOW,R1,HEALTHY,0.986,1,173.74
180,65,927.99,HDFC,Visa,CARD,Electronics,Web,MEDIUM,R4,HEALTHY,0.983,1,179.18
181,65,29.29,SBI,UPI,UPI,Fuel,Android,LOW,R3,HEALTHY,0.979,1,105.11
182,65,256.57,ICICI,UPI,UPI,Electronics,iOS,LOW,R4,HEALTHY,0.983,1,168.12
183,65,558.67,SBI,Visa,CARD,Food,Android,LOW,R3,HEALTHY,0.979,1,98.54
184,67,64.27,HDFC,Mastercard,CARD,Food,Web,LOW,R1,HEALTHY,0.986,1,144.27
185,67,20.76,HDFC,Rupay,CARD,Shopping,Android,LOW,R3,HEALTHY,0.979,1,104.86
186,67,10.0,HDFC,UPI,UPI,Food,Android,LOW,R3,HEALTHY,0.979,1,100.19
187,67,373.64,HDFC,Mastercard,CARD,Fuel,Android,LOW,R4,HEALTHY,0.983,1,156.79
188,69,149.62,Axis,Mastercard,CARD,Fuel,iOS,LOW,R3,HEALTHY,0.979,1,107.61
189,70,49.85,SBI,Mastercard,CARD,Healthcare,Android,LOW,R1,HEALTHY,0.986,1,129.92
190,71,148.81,Axis,Rupay,CARD,Shopping,Web,LOW,R3,HEALTHY,0.979,1,106.29
191,72,1918.81,ICICI,Mastercard,CARD,Healthcare,iOS,LOW,R4,HEALTHY,0.983,1,193.86
192,72,756.37,ICICI,UPI,UPI,Fuel,Android,LOW,R4,HEALTHY,0.983,1,203.03
193,73,24.33,SBI,UPI,UPI,Shopping,iOS,LOW,R3,HEALTHY,0.979,1,109.48
194,74,2297.82,HDFC,Visa,CARD,Fuel,Android,LOW,R1,HEALTHY,0.986,1,156.09
195,75,202.73,ICICI,UPI,UPI,Fuel,Android,LOW,R4,HEALTHY,0.983,1,166.36
196,75,904.02,Kotak,Mastercard,CARD,Shopping,Android,LOW,R1,HEALTHY,0.986,1,113.7
197,75,141.31,BOB,Rupay,CARD,Healthcare,Web,LOW,R3,HEALTHY,0.979,1,121.7
198,75,492.55,HDFC,UPI,UPI,Shopping,Android,LOW,R2,HEALTHY,0.981,1,85.54
199,75,53.27,Axis,Mastercard,CARD,Electronics,Web,LOW,R3,HEALTHY,0.979,1,114.11
200,76,35.53,HDFC,UPI,UPI,Food,iOS,LOW,R2,HEALTHY,0.981,1,83.1
201,76,552.43,SBI,UPI,UPI,Food,Android,MEDIUM,R3,HEALTHY,0.979,1,116.2
202,76,610.02,SBI,UPI,UPI,Electronics,Android,MEDIUM,R1,HEALTHY,0.986,1,150.14
203,76,518.0,SBI,UPI,UPI,Travel,Android,LOW,R4,HEALTHY,0.983,1,172.74
204,77,7321.42,HDFC,UPI,UPI,Shopping,iOS,LOW,R2,DEGRADED,0.7848,1,176.73
205,77,34.11,HDFC,UPI,UPI,Healthcare,Android,LOW,R4,HEALTHY,0.983,1,180.57
206,78,10.0,Kotak,Visa,CARD,Electronics,iOS,LOW,R3,HEALTHY,0.979,1,117.83
207,78,1472.45,ICICI,UPI,UPI,Shopping,Android,LOW,R3,HEALTHY,0.979,1,123.77
208,78,69.25,HDFC,UPI,UPI,Shopping,Web,LOW,R1,HEALTHY,0.986,1,136.39
209,78,487.58,ICICI,UPI,UPI,Food,Web,LOW,R1,HEALTHY,0.986,1,139.0
210,79,317.46,SBI,UPI,UPI,Healthcare,Android,LOW,R1,HEALTHY,0.986,1,148.93
211,79,35.96,Axis,Rupay,CARD,Healthcare,Web,LOW,R3,HEALTHY,0.979,1,103.03
212,80,1076.85,ICICI,UPI,UPI,Travel,Web,MEDIUM,R4,HEALTHY,0.983,1,151.96
213,81,5959.7,SBI,Visa,CARD,Travel,Android,MEDIUM,R1,HEALTHY,0.986,1,163.13
214,83,239.79,ICICI,UPI,UPI,Food,Web,LOW,R3,HEALTHY,0.979,1,117.59
215,83,116.1,Kotak,UPI,UPI,Food,Web,LOW,R4,HEALTHY,0.983,1,155.25
216,84,224.71,BOB,UPI,UPI,Healthcare,Web,LOW,R2,HEALTHY,0.981,1,79.19
217,84,35.22,ICICI,Rupay,CARD,Travel,Android,LOW,R3,HEALTHY,0.979,1,91.62
218,84,52.94,SBI,UPI,UPI,Fuel,iOS,LOW,R4,HEALTHY,0.983,1,166.86
219,84,94.88,ICICI,UPI,UPI,Food,Android,LOW,R3,HEALTHY,0.979,1,103.28
220,84,90.49,SBI,Mastercard,CARD,Travel,iOS,LOW,R1,HEALTHY,0.986,1,157.72
221,86,138.47,HDFC,Visa,CARD,Food,Web,LOW,R1,HEALTHY,0.986,1,134.69
222,87,1782.45,HDFC,UPI,UPI,Shopping,Web,LOW,R2,HEALTHY,0.981,1,83.77
223,88,270.68,ICICI,Rupay,CARD,Electronics,Android,HIGH,R3,HEALTHY,0.979,1,115.68
224,88,5497.04,HDFC,UPI,UPI,Shopping,iOS,MEDIUM,R3,HEALTHY,0.979,1,117.67
225,88,885.44,ICICI,Mastercard,CARD,Shopping,iOS,LOW,R3,HEALTHY,0.979,1,93.04
226,88,11.9,ICICI,Rupay,CARD,Travel,Web,LOW,R3,HEALTHY,0.979,1,120.15
227,89,60.37,HDFC,UPI,UPI,Travel,iOS,LOW,R3,HEALTHY,0.979,1,106.92
228,89,1314.52,ICICI,Visa,CARD,Electronics,Web,MEDIUM,R4,HEALTHY,0.983,1,156.17
229,90,3625.58,Axis,Mastercard,CARD,Shopping,Android,MEDIUM,R1,HEALTHY,0.986,1,149.9
230,90,324.17,HDFC,Visa,CARD,Travel,iOS,LOW,R3,HEALTHY,0.979,1,100.71
231,91,264.98,ICICI,UPI,UPI,Food,Web,LOW,R3,HEALTHY,0.979,1,84.6
232,91,35.14,ICICI,UPI,UPI,Shopping,iOS,LOW,R3,HEALTHY,0.979,1,111.19
233,93,127.08,Kotak,Rupay,CARD,Shopping,Android,LOW,R3,HEALTHY,0.979,1,109.17
234,96,1659.12,HDFC,Visa,CARD,Electronics,iOS,LOW,R3,HEALTHY,0.979,1,133.78
235,96,741.66,BOB,UPI,UPI,Shopping,Android,LOW,R3,HEALTHY,0.979,1,98.42
236,96,162.91,Axis,Rupay,CARD,Fuel,Android,LOW,R3,HEALTHY,0.979,1,122.46
237,96,15.95,ICICI,UPI,UPI,Healthcare,Web,LOW,R1,HEALTHY,0.986,1,159.52
238,97,553.03,ICICI,UPI,UPI,Electronics,iOS,LOW,R1,HEALTHY,0.986,1,166.6
239,98,757.77,SBI,UPI,UPI,Fuel,Web,MEDIUM,R2,HEALTHY,0.981,1,79.67
240,100,1145.74,SBI,UPI,UPI,Shopping,Android,LOW,R1,HEALTHY,0.986,1,128.12
241,100,225.13,HDFC,Visa,CARD,Food,Web,LOW,R1,HEALTHY,0.986,1,108.13
242,100,7525.66,SBI,Visa,CARD,Food,Web,LOW,R4,HEALTHY,0.983,1,179.16
243,101,124.72,ICICI,UPI,UPI,Electronics,Web,LOW,R1,HEALTHY,0.986,1,153.53
244,102,670.97,BOB,UPI,UPI,Food,Web,LOW,R2,HEALTHY,0.981,1,95.3
245,103,358.97,ICICI,UPI,UPI,Electronics,Android,LOW,R2,HEALTHY,0.981,1,85.99
246,103,171.74,SBI,UPI,UPI,Shopping,Android,HIGH,R1,HEALTHY,0.986,1,127.1
247,104,81.21,ICICI,UPI,UPI,Shopping,Android,LOW,R4,HEALTHY,0.983,1,169.0
248,104,173.05,BOB,Rupay,CARD,Fuel,Web,LOW,R3,DEGRADED,0.7832,1,184.87
249,106,217.13,SBI,UPI,UPI,Travel,iOS,LOW,R1,HEALTHY,0.986,0,142.27
250,106,113.55,Kotak,UPI,UPI,Fuel,Web,LOW,R1,HEALTHY,0.986,1,150.69
251,106,204.27,ICICI,UPI,UPI,Shopping,iOS,LOW,R4,HEALTHY,0.983,1,176.62
252,107,66.89,SBI,UPI,UPI,Shopping,Android,LOW,R2,HEALTHY,0.981,1,105.18
253,107,507.34,Axis,Mastercard,CARD,Electronics,Android,LOW,R4,HEALTHY,0.983,1,164.01
254,107,1210.04,ICICI,UPI,UPI,Shopping,Web,LOW,R4,HEALTHY,0.983,1,175.22
255,108,110.75,HDFC,Rupay,CARD,Food,Android,LOW,R3,DEGRADED,0.7832,1,200.39
256,108,147.77,SBI,Mastercard,CARD,Travel,Android,LOW,R1,HEALTHY,0.986,1,165.3
257,109,151.16,SBI,Mastercard,CARD,Shopping,Web,LOW,R4,HEALTHY,0.983,1,172.47
258,109,21.49,Kotak,Rupay,CARD,Fuel,Android,LOW,R3,DEGRADED,0.7832,1,236.56
259,110,130.07,SBI,UPI,UPI,Shopping,iOS,MEDIUM,R2,HEALTHY,0.981,1,88.02
