txn_id,minute,amount,bank,network,payment_method,merchant,device,risk,route_id,route_base_success_rate,route_base_latency_ms,route_cost_percent,route_success_rate_5m,route_success_rate_15m,route_avg_latency_5m,route_current_load,route_requests_1m,time_since_last_failure,route_flagged_down,bank_route_success_rate_15m,success
33,12,462.35,HDFC,Mastercard,CARD,Food,Android,LOW,R3,0.9496744677107162,125.47282773183177,1.1,1.0,1.0,102.5275,3.0,2.0,9999.0,0.0,0.954249516100651,1
34,12,171.7,ICICI,Mastercard,CARD,Food,iOS,MEDIUM,R3,0.9496744677107162,125.47282773183177,1.1,1.0,1.0,102.5275,3.0,2.0,9999.0,0.0,0.954249516100651,1
35,12,551.62,HDFC,Mastercard,CARD,Food,iOS,LOW,R4,0.9644351464435147,189.73578451882847,1.75,1.0,1.0,165.34000000000003,1.0,1.0,9999.0,0.0,0.9726424203411651,1
36,13,3452.97,Axis,Visa,CARD,Fuel,iOS,HIGH,R1,0.9731147540983607,152.58090273224045,2.1,1.0,0.8888888888888888,138.79749999999996,1.0,0.0,9.0,0.0,0.975558867362146,1
37,13,223.98,ICICI,UPI,UPI,Electronics,Web,HIGH,R4,0.9644351464435147,189.73578451882847,1.75,1.0,1.0,169.3166666666667,2.0,1.0,9999.0,0.0,0.9644351464435147,1
38,13,82.39,HDFC,Rupay,CARD,Shopping,Android,LOW,R3,0.9496744677107162,125.47282773183177,1.1,1.0,1.0,103.73833333333333,4.0,2.0,9999.0,0.0,0.9580620564255967,1
39,13,92.91,HDFC,Mastercard,CARD,Shopping,Android,LOW,R3,0.9496744677107162,125.47282773183177,1.1,1.0,1.0,103.73833333333333,4.0,2.0,9999.0,0.0,0.9580620564255967,1
40,14,313.71,HDFC,Visa,CARD,Fuel,iOS,LOW,R1,0.9731147540983607,152.58090273224045,2.1,1.0,0.9,146.46249999999998,1.0,1.0,10.0,0.0,0.9807962529274005,1
41,14,1940.55,HDFC,UPI,UPI,Food,iOS,LOW,R1,0.9731147540983607,152.58090273224045,2.1,1.0,0.9,146.46249999999998,1.0,1.0,10.0,0.0,0.9807962529274005,1
42,14,104.14,Kotak,UPI,UPI,Shopping,iOS,LOW,R2,0.9344855305466238,99.96616559485531,1.45,1.0,1.0,71.39999999999998,1.0,0.0,9999.0,0.0,0.9344855305466238,1
43,15,112.22,Kotak,UPI,UPI,Shopping,iOS,MEDIUM,R4,0.9644351464435147,189.73578451882847,1.75,1.0,1.0,160.69333333333338,1.0,0.0,9999.0,0.0,0.9676683149486497,1
44,15,30.94,HDFC,Rupay,CARD,Healthcare,Android,LOW,R3,0.9496744677107162,125.47282773183177,1.1,1.0,1.0,109.43714285714285,2.0,0.0,9999.0,0.0,0.9640531912219401,1
45,15,145.7,SBI,UPI,UPI,Food,Android,LOW,R1,0.9731147540983607,152.58090273224045,2.1,1.0,0.9166666666666666,143.675,3.0,2.0,11.0,0.0,0.975558867362146,1
46,15,416.48,ICICI,UPI,UPI,Healthcare,iOS,LOW,R1,0.9731147540983607,152.58090273224045,2.1,1.0,0.9166666666666666,143.675,3.0,2.0,11.0,0.0,0.8942622950819672,1
47,16,437.18,HDFC,Rupay,CARD,Food,Android,LOW,R3,0.9496744677107162,125.47282773183177,1.1,1.0,1.0,109.22999999999999,1.0,1.0,9999.0,0.0,0.9664496451404774,1
48,16,1198.11,BOB,UPI,UPI,Shopping,Android,HIGH,R3,0.9496744677107162,125.47282773183177,1.1,1.0,1.0,109.22999999999999,1.0,1.0,9999.0,0.0,0.9496744677107161,1
49,17,90.44,HDFC,Mastercard,CARD,Fuel,iOS,LOW,R1,0.9731147540983607,152.58090273224045,2.1,1.0,0.9090909090909091,142.93,2.0,0.0,13.0,0.0,0.9807962529274005,1
50,17,27.63,ICICI,Mastercard,CARD,Shopping,Web,LOW,R1,0.9731147540983607,152.58090273224045,2.1,1.0,0.9090909090909091,142.93,2.0,0.0,13.0,0.0,0.8942622950819672,1
51,17,37.32,BOB,Rupay,CARD,Electronics,Web,LOW,R3,0.9496744677107162,125.47282773183177,1.1,1.0,1.0,109.56714285714285,3.0,2.0,9999.0,0.0,0.954249516100651,1
52,18,80.23,SBI,Mastercard,CARD,Shopping,Web,LOW,R1,0.9731147540983607,152.58090273224045,2.1,1.0,0.9230769230769231,144.48571428571432,2.0,2.0,14.0,0.0,0.9775956284153006,1
53,18,50.23,SBI,UPI,UPI,Fuel,Web,LOW,R3,0.9496744677107162,125.47282773183177,1.1,1.0,1.0,109.58999999999999,3.0,1.0,9999.0,0.0,0.9640531912219401,1
54,19,1303.63,HDFC,Mastercard,CARD,Shopping,Android,LOW,R4,0.9644351464435147,189.73578451882847,1.75,1.0,1.0,187.28999999999996,0.0,0.0,9999.0,0.0,0.9703626220362622,1
55,19,115.81,SBI,UPI,UPI,Healthcare,iOS,LOW,R3,0.9496744677107162,125.47282773183177,1.1,1.0,1.0,102.90799999999994,2.0,1.0,9999.0,0.0,0.9640531912219401,1
56,19,407.24,Axis,Mastercard,CARD,Food,Android,LOW,R1,0.9731147540983607,152.58090273224045,2.1,1.0,0.9285714285714286,139.52571428571432,3.0,1.0,15.0,0.0,0.9775956284153006,1
57,20,89.34,ICICI,UPI,UPI,Fuel,Web,LOW,R1,0.9731147540983607,152.58090273224045,2.1,1.0,1.0,143.905,2.0,1.0,16.0,0.0,0.9775956284153006,1
58,20,238.84,Kotak,Visa,CARD,Shopping,iOS,LOW,R4,0.9644351464435147,189.73578451882847,1.75,1.0,1.0,177.06999999999994,1.0,1.0,9999.0,0.0,0.9676683149486497,1
59,20,40.96,HDFC,UPI,UPI,Healthcare,Web,LOW,R1,0.9731147540983607,152.58090273224045,2.1,1.0,1.0,143.905,2.0,1.0,16.0,0.0,0.9820765027322405,1
60,20,64.6,ICICI,UPI,UPI,Fuel,iOS,LOW,R3,0.9496744677107162,125.47282773183177,1.1,1.0,1.0,102.93333333333328,2.0,1.0,9999.0,0.0,0.954249516100651,1
61,20,1105.63,HDFC,Mastercard,CARD,Fuel,iOS,LOW,R3,0.9496744677107162,125.47282773183177,1.1,1.0,1.0,102.93333333333328,2.0,1.0,9999.0,0.0,0.9685465423191976,1
62,21,36.11,Kotak,Rupay,CARD,Travel,Android,LOW,R3,0.9496744677107162,125.47282773183177,1.1,1.0,1.0,107.96999999999993,3.0,2.0,9999.0,0.0,0.954249516100651,1
63,21,403.36,HDFC,Visa,CARD,Fuel,Android,LOW,R2,0.9344855305466238,99.96616559485531,1.45,,1.0,,0.0,0.0,9999.0,0.0,0.9344855305466238,1
64,21,522.8,HDFC,UPI,UPI,Fuel,iOS,LOW,R3,0.9496744677107162,125.47282773183177,1.1,1.0,1.0,107.96999999999993,3.0,2.0,9999.0,0.0,0.9703967457121858,1
65,21,133.78,BOB,Mastercard,CARD,Food,Android,LOW,R1,0.9731147540983607,152.58090273224045,2.1,1.0,1.0,145.1866666666667,3.0,2.0,17.0,0.0,0.9731147540983607,1
66,22,55.67,HDFC,UPI,UPI,Electronics,Android,LOW,R4,0.9644351464435147,189.73578451882847,1.75,1.0,1.0,168.46499999999992,1.0,0.0,9999.0,0.0,0.9703626220362622,1
67,22,223.15,Axis,UPI,UPI,Shopping,Android,LOW,R1,0.9731147540983607,152.58090273224045,2.1,1.0,1.0,146.8514285714286,3.0,1.0,18.0,0.0,0.9793190416141235,1
68,23,173.75,HDFC,UPI,UPI,Shopping,Android,LOW,R1,0.9731147540983607,152.58090273224045,2.1,1.0,1.0,144.57166666666663,2.0,1.0,19.0,0.0,0.9831967213114754,1
69,23,203.19,HDFC,UPI,UPI,Food,Web,LOW,R3,0.9496744677107162,125.47282773183177,1.1,1.0,1.0,105.36666666666656,2.0,0.0,9999.0,0.0,0.9720413709503978,1
70,24,322.2,HDFC,Rupay,CARD,Electronics,iOS,LOW,R3,0.9496744677107162,125.47282773183177,1.1,1.0,1.0,107.41666666666659,1.0,1.0,9999.0,0.0,0.9720413709503978,1
71,24,144.25,SBI,Mastercard,CARD,Shopping,Web,LOW,R1,0.9731147540983607,152.58090273224045,2.1,1.0,1.0,148.385,2.0,1.0,20.0,0.0,0.9775956284153006,0
72,24,275.15,Axis,Rupay,CARD,Healthcare,Android,MEDIUM,R3,0.9496744677107162,125.47282773183177,1.1,1.0,1.0,107.41666666666659,1.0,1.0,9999.0,0.0,0.9496744677107161,1
73,25,77.2,HDFC,UPI,UPI,Shopping,Android,LOW,R1,0.9731147540983607,152.58090273224045,2.1,0.8333333333333334,0.9375,148.36333333333337,2.0,1.0,1.0,0.0,0.9831967213114754,1
74,25,30.01,BOB,UPI,UPI,Healthcare,iOS,LOW,R3,0.9496744677107162,125.47282773183177,1.1,1.0,1.0,107.46428571428565,3.0,2.0,9999.0,0.0,0.9580620564255967,1
75,25,7223.86,ICICI,Mastercard,CARD,Food,iOS,MEDIUM,R3,0.9496744677107162,125.47282773183177,1.1,1.0,1.0,107.46428571428565,3.0,2.0,9999.0,0.0,0.9580620564255967,1
76,26,290.49,Kotak,Rupay,CARD,Electronics,Android,LOW,R3,0.9496744677107162,125.47282773183177,1.1,1.0,1.0,104.58857142857141,4.0,2.0,9999.0,0.0,0.9580620564255967,1
77,27,257.66,HDFC,Visa,CARD,Shopping,Web,LOW,R1,0.9731147540983607,152.58090273224045,2.1,0.75,0.9375,146.62750000000005,1.0,0.0,3.0,0.0,0.9831967213114754,1
78,27,46.77,BOB,UPI,UPI,Travel,Android,LOW,R4,0.9644351464435147,189.73578451882847,1.75,1.0,1.0,169.11000000000013,0.0,0.0,9999.0,0.0,0.9644351464435147,1
79,27,267.51,BOB,Rupay,CARD,Food,Web,LOW,R3,0.9496744677107162,125.47282773183177,1.1,1.0,1.0,109.87000000000005,3.0,1.0,9999.0,0.0,0.9612880520851662,1
80,27,168.92,Kotak,Rupay,CARD,Electronics,Web,LOW,R3,0.9496744677107162,125.47282773183177,1.1,1.0,1.0,109.87000000000005,3.0,1.0,9999.0,0.0,0.9580620564255967,1
81,28,1365.3,HDFC,UPI,UPI,Shopping,Android,MEDIUM,R3,0.9496744677107162,125.47282773183177,1.1,1.0,1.0,109.1225,3.0,2.0,9999.0,0.0,0.9720413709503978,1
82,28,139.3,Axis,Mastercard,CARD,Food,Android,LOW,R1,0.9731147540983607,152.58090273224045,2.1,0.75,0.9411764705882353,150.70000000000016,1.0,1.0,4.0,0.0,0.9793190416141235,1
83,28,202.12,HDFC,UPI,UPI,Food,Android,MEDIUM,R1,0.9731147540983607,152.58090273224045,2.1,0.75,0.9411764705882353,150.70000000000016,1.0,1.0,4.0,0.0,0.9841851494696239,1
84,30,460.16,SBI,Rupay,CARD,Food,Android,LOW,R3,0.9496744677107162,125.47282773183177,1.1,1.0,1.0,112.59833333333336,1.0,0.0,9999.0,0.0,0.9580620564255967,1
85,31,257.0,HDFC,Mastercard,CARD,Fuel,Web,LOW,R3,0.9496744677107162,125.47282773183177,1.1,1.0,1.0,111.154,1.0,1.0,9999.0,0.0,0.9685465423191976,1
86,31,57.77,BOB,UPI,UPI,Food,iOS,LOW,R4,0.9644351464435147,189.73578451882847,1.75,1.0,1.0,168.07999999999993,0.0,0.0,9999.0,0.0,0.9676683149486497,1
87,31,96.38,Kotak,UPI,UPI,Food,iOS,LOW,R4,0.9644351464435147,189.73578451882847,1.75,1.0,1.0,168.07999999999993,0.0,0.0,9999.0,0.0,0.9676683149486497,1
88,31,37.04,ICICI,Rupay,CARD,Food,Android,LOW,R3,0.9496744677107162,125.47282773183177,1.1,1.0,1.0,111.154,1.0,1.0,9999.0,0.0,0.9580620564255967,1
89,32,36.06,ICICI,UPI,UPI,Shopping,Android,LOW,R2,0.9344855305466238,99.96616559485531,1.45,,1.0,,0.0,0.0,9999.0,0.0,0.9344855305466238,1
90,32,130.4,Axis,Visa,CARD,Food,Android,LOW,R4,0.9644351464435147,189.73578451882847,1.75,1.0,1.0,150.30000000000004,2.0,2.0,9999.0,0.0,0.9644351464435147,1
91,33,559.18,HDFC,UPI,UPI,Shopping,Android,LOW,R2,0.9344855305466238,99.96616559485531,1.45,1.0,1.0,101.80999999999995,1.0,1.0,9999.0,0.0,0.9404413914060217,1
92,33,188.32,HDFC,UPI,UPI,Food,Android,LOW,R3,0.9496744677107162,125.47282773183177,1.1,1.0,1.0,121.85249999999996,2.0,0.0,9999.0,0.0,0.9685465423191976,1
93,33,187.07,Axis,UPI,UPI,Healthcare,Web,LOW,R2,0.9344855305466238,99.96616559485531,1.45,1.0,1.0,101.80999999999995,1.0,1.0,9999.0,0.0,0.9344855305466238,1
94,34,24.84,HDFC,Rupay,CARD,Food,Web,MEDIUM,R3,0.9496744677107162,125.47282773183177,1.1,1.0,1.0,117.23249999999985,1.0,1.0,9999.0,0.0,0.9703967457121858,1
95,35,28.78,SBI,UPI,UPI,Shopping,iOS,LOW,R4,0.9644351464435147,189.73578451882847,1.75,1.0,1.0,152.7900000000001,0.0,0.0,9999.0,0.0,0.9644351464435147,1
96,36,86.8,BOB,Visa,CARD,Healthcare,Android,LOW,R1,0.9731147540983607,152.58090273224045,2.1,,0.875,,0.0,0.0,12.0,0.0,0.975558867362146,1
97,36,165.15,HDFC,UPI,UPI,Food,iOS,LOW,R2,0.9344855305466238,99.96616559485531,1.45,1.0,1.0,91.2933333333333,0.0,0.0,9999.0,0.0,0.9454046087888531,1
98,36,3569.23,SBI,Mastercard,CARD,Travel,Android,LOW,R3,0.9496744677107162,125.47282773183177,1.1,1.0,1.0,119.50249999999994,1.0,0.0,9999.0,0.0,0.954249516100651,1
99,36,28.48,HDFC,Mastercard,CARD,Shopping,Web,LOW,R1,0.9731147540983607,152.58090273224045,2.1,,0.875,,0.0,0.0,12.0,0.0,0.9807962529274005,1
100,36,407.27,Kotak,UPI,UPI,Food,iOS,LOW,R4,0.9644351464435147,189.73578451882847,1.75,1.0,1.0,165.05750000000012,1.0,1.0,9999.0,0.0,0.9676683149486497,1
101,37,772.55,Axis,UPI,UPI,Travel,Android,LOW,R4,0.9644351464435147,189.73578451882847,1.75,1.0,1.0,185.23333333333343,2.0,1.0,9999.0,0.0,0.9676683149486497,1
102,38,292.34,SBI,Visa,CARD,Healthcare,Web,LOW,R2,0.9344855305466238,99.96616559485531,1.45,1.0,1.0,85.94666666666664,1.0,0.0,9999.0,0.0,0.9344855305466238,1
103,38,5786.6,BOB,UPI,UPI,Electronics,iOS,MEDIUM,R1,0.9731147540983607,152.58090273224045,2.1,1.0,0.875,144.65499999999997,2.0,0.0,14.0,0.0,0.975558867362146,1
104,38,173.52,SBI,Visa,CARD,Fuel,Android,LOW,R3,0.9496744677107162,125.47282773183177,1.1,1.0,1.0,110.73666666666668,1.0,0.0,9999.0,0.0,0.9580620564255967,1
105,38,22.8,BOB,Mastercard,CARD,Electronics,Android,LOW,R4,0.9644351464435147,189.73578451882847,1.75,1.0,1.0,179.23000000000002,2.0,1.0,9999.0,0.0,0.9703626220362622,1
106,39,171.89,SBI,Visa,CARD,Food,iOS,LOW,R1,0.9731147540983607,152.58090273224045,2.1,1.0,0.875,142.36000000000013,1.0,1.0,15.0,0.0,0.8846497764530551,1
107,39,336.8,Kotak,Mastercard,CARD,Healthcare,iOS,LOW,R1,0.9731147540983607,152.58090273224045,2.1,1.0,0.875,142.36000000000013,1.0,1.0,15.0,0.0,0.9731147540983607,1
108,39,126.81,SBI,Mastercard,CARD,Fuel,Android,HIGH,R1,0.9731147540983607,152.58090273224045,2.1,1.0,0.875,142.36000000000013,1.0,1.0,15.0,0.0,0.8846497764530551,1
109,39,805.23,SBI,Visa,CARD,Food,Android,LOW,R2,0.9344855305466238,99.96616559485531,1.45,1.0,1.0,93.23500000000001,1.0,1.0,9999.0,0.0,0.9404413914060217,1
110,39,231.32,SBI,Rupay,CARD,Food,Android,LOW,R3,0.9496744677107162,125.47282773183177,1.1,1.0,1.0,112.4333333333334,1.0,1.0,9999.0,0.0,0.9612880520851662,1
111,41,642.82,Kotak,UPI,UPI,Fuel,Android,LOW,R1,0.9731147540983607,152.58090273224045,2.1,1.0,1.0,147.21500000000006,3.0,0.0,17.0,0.0,0.975558867362146,1
112,41,43.69,HDFC,Visa,CARD,Shopping,Web,LOW,R1,0.9731147540983607,152.58090273224045,2.1,1.0,1.0,147.21500000000006,3.0,0.0,17.0,0.0,0.9793190416141235,1
113,41,39.41,Axis,Visa,CARD,Shopping,iOS,LOW,R3,0.9496744677107162,125.47282773183177,1.1,1.0,1.0,111.35999999999997,1.0,0.0,9999.0,0.0,0.9496744677107161,1
114,41,385.63,SBI,Visa,CARD,Travel,Android,LOW,R1,0.9731147540983607,152.58090273224045,2.1,1.0,1.0,147.21500000000006,3.0,0.0,17.0,0.0,0.9775956284153006,1
115,41,749.01,ICICI,Visa,CARD,Shopping,iOS,LOW,R2,0.9344855305466238,99.96616559485531,1.45,1.0,1.0,91.63000000000004,1.0,0.0,9999.0,0.0,0.9404413914060217,1
116,42,838.52,SBI,Rupay,CARD,Food,Web,LOW,R3,0.9496744677107162,125.47282773183177,1.1,1.0,1.0,111.92999999999999,1.0,1.0,9999.0,0.0,0.9640531912219401,1
117,42,942.35,ICICI,UPI,UPI,Food,iOS,LOW,R1,0.9731147540983607,152.58090273224045,2.1,1.0,1.0,142.3485714285715,3.0,3.0,18.0,0.0,0.9731147540983607,1
118,42,93.07,BOB,UPI,UPI,Shopping,Android,LOW,R1,0.9731147540983607,152.58090273224045,2.1,1.0,1.0,142.3485714285715,3.0,3.0,18.0,0.0,0.9775956284153006,1
119,43,600.17,SBI,UPI,UPI,Healthcare,Android,LOW,R2,0.9344855305466238,99.96616559485531,1.45,1.0,1.0,92.55000000000003,1.0,0.0,9999.0,0.0,0.9454046087888531,1
120,43,43.36,ICICI,Mastercard,CARD,Healthcare,Web,LOW,R3,0.9496744677107162,125.47282773183177,1.1,1.0,1.0,109.44499999999994,2.0,1.0,9999.0,0.0,0.954249516100651,1
121,44,815.82,BOB,UPI,UPI,Food,Web,MEDIUM,R3,0.9496744677107162,125.47282773183177,1.1,1.0,1.0,114.94250000000011,2.0,1.0,9999.0,0.0,0.9496744677107161,1
122,44,93.39,BOB,UPI,UPI,Shopping,Web,LOW,R2,0.9344855305466238,99.96616559485531,1.45,1.0,1.0,86.97333333333336,1.0,1.0,9999.0,0.0,0.9344855305466238,1
123,44,453.67,HDFC,UPI,UPI,Electronics,Web,MEDIUM,R1,0.9731147540983607,152.58090273224045,2.1,1.0,1.0,145.66875000000005,2.0,0.0,20.0,0.0,0.9775956284153006,1
124,45,663.55,HDFC,UPI,UPI,Food,iOS,LOW,R1,0.9731147540983607,152.58090273224045,2.1,1.0,1.0,145.97666666666677,1.0,1.0,21.0,0.0,0.9793190416141235,1
125,46,82.2,ICICI,UPI,UPI,Shopping,Android,LOW,R2,0.9344855305466238,99.96616559485531,1.45,1.0,1.0,82.7166666666667,1.0,0.0,9999.0,0.0,0.9454046087888531,1
126,46,114.03,SBI,Visa,CARD,Electronics,Android,LOW,R1,0.9731147540983607,152.58090273224045,2.1,1.0,1.0,147.33571428571435,2.0,1.0,22.0,0.0,0.9793190416141235,1
127,46,47.01,HDFC,Mastercard,CARD,Food,Web,LOW,R3,0.9496744677107162,125.47282773183177,1.1,1.0,1.0,114.77999999999997,1.0,0.0,9999.0,0.0,0.9612880520851662,1
128,46,90.73,SBI,Visa,CARD,Shopping,iOS,LOW,R3,0.9496744677107162,125.47282773183177,1.1,1.0,1.0,114.77999999999997,1.0,0.0,9999.0,0.0,0.9640531912219401,1
129,47,31.48,SBI,Mastercard,CARD,Shopping,Android,MEDIUM,R1,0.9731147540983607,152.58090273224045,2.1,1.0,1.0,159.72600000000003,2.0,1.0,23.0,0.0,0.9807962529274005,1
130,47,322.11,Axis,Visa,CARD,Fuel,iOS,LOW,R1,0.9731147540983607,152.58090273224045,2.1,1.0,1.0,159.72600000000003,2.0,1.0,23.0,0.0,0.9731147540983607,1
131,48,860.19,ICICI,UPI,UPI,Healthcare,Web,LOW,R3,0.9496744677107162,125.47282773183177,1.1,1.0,1.0,114.68249999999989,2.0,0.0,9999.0,0.0,0.954249516100651,1
132,48,197.51,HDFC,UPI,UPI,Fuel,iOS,LOW,R1,0.9731147540983607,152.58090273224045,2.1,1.0,1.0,151.20599999999996,3.0,2.0,24.0,0.0,0.9807962529274005,1
133,48,905.49,SBI,UPI,UPI,Food,Android,LOW,R1,0.9731147540983607,152.58090273224045,2.1,1.0,1.0,151.20599999999996,3.0,2.0,24.0,0.0,0.9820765027322405,1
134,49,302.89,HDFC,UPI,UPI,Travel,iOS,LOW,R1,0.9731147540983607,152.58090273224045,2.1,1.0,1.0,146.30142857142852,4.0,2.0,25.0,0.0,0.9820765027322405,1
135,49,517.5,HDFC,UPI,UPI,Food,iOS,MEDIUM,R4,0.9644351464435147,189.73578451882847,1.75,,1.0,,0.0,0.0,9999.0,0.0,0.9644351464435147,1
136,49,708.84,ICICI,UPI,UPI,Shopping,Web,LOW,R3,0.9496744677107162,125.47282773183177,1.1,1.0,1.0,111.70999999999981,1.0,1.0,9999.0,0.0,0.9580620564255967,1
137,50,61.49,HDFC,Mastercard,CARD,Healthcare,iOS,LOW,R1,0.9731147540983607,152.58090273224045,2.1,1.0,1.0,141.38142857142844,3.0,1.0,26.0,0.0,0.9831967213114754,1
